ID,name,type,duration,participants
COE 272,Digital Systems Design I,LECTURE,2,LEC198 ED2-COE
COE 252,Data Structures and Algorithms,LECTURE,2,LEC215 ED2-COE
COE 164,Introduction To Matlab And Labview,LECTURE,2,LEC201 ED1-COE
COE 162,Programming And Problem Solving,LECTURE,2,LEC206 ED1-COE
COE 152,Basic Electronics,LECTURE,2,LEC003 ED1-COE
CHEM 280,Practical Chemistry II,LAB_SESSION,2,LEC120 ED2-PCE
CHEM 280,Practical Chemistry II,LAB_SESSION,2,LEC120 ED2-PCE
CHEM 170,Practical chemistry,LAB_SESSION,2,LEC120 ED1-PETE
CHEM 170,Practical chemistry,LAB_SESSION,2,LEC120 ED1-PETE
CHE 470,Pharmaceutical Technology,LECTURE,2,LEC169 ED4-CHE
CHE 468,Environmental Eng. Technology,LECTURE,2,LEC152 ED4-CHE
CHE 466,Pulp And Paper Technology,LECTURE,2,LEC155 ED4-CHE
CHE 458,Entrepreneurship And Business Development,LECTURE,2,LEC168 ED4-PCE
CHE 456,Process Control And Simulation,LECTURE,2,LEC159 ED4-PCE
CHE 454,Chemical Plant Design Project II,LECTURE,2,LEC05 ED4-CHE
CHE 454,Chemical Plant Design Project II,LECTURE,2,LEC05 ED4-CHE
CHE 452,Process Control And Simulation,LECTURE,2,LEC066 ED4-MSE
CHE 452,Process Control And Simulation,LECTURE,2,LEC066 ED4-MSE
CHE 368,Food Processing Technology,LECTURE,2,LEC142 ED3-CHE
CHE 364,Packaging Technology,LECTURE,2,LEC154 ED3-CHE
CHE 362,Silicate Technology II,LECTURE,2,LEC157 ED3-CHE
CHE 358,Numerical Methods for Chemical Engineers,LECTURE,2,LEC126 ED3-PETE
CHE 358,Numerical Methods for Chemical Engineers,LECTURE,2,LEC155 ED3-CHE
CHE 358,Numerical Methods for Chemical Engineers,LECTURE,2,LEC072 ED3-MSE
CHE 352,Chemical Reaction Engineering,LECTURE,2,LEC158 ED3-CHE
CHE 352,Chemical Reaction Engineering,LECTURE,2,LEC158 ED3-CHE
CHE 350,Materials Science,LECTURE,2,LEC165 ED3-CHE
CHE 258,Drawing for Engineers,LECTURE,2,LEC148 ED2-CHE
CHE 256,Heat Transport Processes,LECTURE,2,LEC167 ED2-PCE
CHE 254,Chemical Engineering Thermodynamics II,LECTURE,2,LEC156 ED2-CHE
CHE 252,Chemical Process Calculations II,LECTURE,2,LEC155 ED2-CHE
CHE 250,Strength Of Materials For Chemical Engineers,LECTURE,2,LEC159 ED2-CHE
CHE 158,Introduction To Information Technology,LECTURE,2,LEC153 ED1-CHE
CHE 156,Physical Chemistry for Engineers,LECTURE,2,LEC152 ED1-CHE
CE 478,Ground Engineering,LECTURE,2,LEC101 ED4-CE
CE 476,Systems Engineering,LECTURE,2,LEC012 ED4-CE
CE 468,Transportation Engineering,LECTURE,2,LEC100 ED4-CE
CE 464,Environmental Quality Eng.,LECTURE,2,LEC005 ED4-CE
CE 462,Construction Management,LECTURE,2,LEC098 ED4-CE
CE 458,Water Resource Engineering,LECTURE,2,LEC096 ED4-CE
CE 456,Structural Dynamics,LECTURE,2,LEC012 ED4-CE
CE 260,Soil and Rock Mechanics,LECTURE,2,LEC091 ED2-CE
BME 498,Project II,LAB_SESSION,2,LEC03 ED4-BME
BME 498,Project II,LAB_SESSION,2,LEC03 ED4-BME
BME 372,Bioinstrumentation I,LECTURE,2,LEC083 ED3-BME
BME 366,Biosignal Processes And Analysis,LECTURE,2,LEC083 ED3-BME
AME 376,Automotive Chassis,LECTURE,2,LEC021 ED3-AUTO
AME 356,Land Vehicle Structures,LECTURE,2,LEC021 ED3-AUTO
AERO 374,Air Vehicle Performance and Design,LECTURE,2,LEC031 ED3-AERO
AERO 362,Air Vehicle and Control,LECTURE,2,LEC036 ED3-AERO
